Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,goodgirl,,,,,,,,GOODGIRL-10,,,Decant 10 ml,,,,,,,,18,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,goodgirl,,,,,,,,GOODGIRL-80,,,Frasco 80 ml,,,,,,,,112,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
La Vie Est Belle,lavieestbelle,"<p>Dulce de verdad, no empalagoso. Rinde una barbaridad.</p>",Lancôme,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Iris · Praliné · Pachulí,"Lancôme, decants, La Vie Est Belle, campo:5",TRUE,Active,LAVIEESTBELL-5,,Presentación,Decant 5 ml,,,,,,,,12,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/lavieestbelle.webp,1,Frasco y caja de Lancôme La Vie Est Belle,,FALSE,Lancôme La Vie Est Belle — decant y frasco completo,Prueba La Vie Est Belle en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,lavieestbelle,,,,,,,,LAVIEESTBELL-10,,,Decant 10 ml,,,,,,,,21,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,lavieestbelle,,,,,,,,LAVIEESTBELL-100,,,Frasco 100 ml,,,,,,,,128,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Stronger With You,stronger,<p>Vainilla con castaña. El que preguntan en la fiesta.</p>,Giorgio Armani,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Cardamomo · Castaña · Vainilla,"Giorgio Armani, decants, Stronger With You, campo:6",TRUE,Active,STRONGER-5,,Presentación,Decant 5 ml,,,,,,,,9,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/stronger.webp,1,Frasco y caja de Giorgio Armani Stronger With You,,FALSE,Giorgio Armani Stronger With You — decant y frasco completo,Prueba Stronger With You en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,stronger,,,,,,,,STRONGER-10,,,Decant 10 ml,,,,,,,,16,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,stronger,,,,,,,,STRONGER-100,,,Frasco 100 ml,,,,,,,,96,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Libre,libre,"<p>Lavanda y vainilla. Suave de lejos, fuerte de cerca.</p>",Yves Saint Laurent,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Lavanda · Azahar · Vainilla,"Yves Saint Laurent, decants, Libre, campo:8",TRUE,Active,LIBRE-5,,Presentación,Decant 5 ml,,,,,,,,12,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/libre.webp,1,Frasco y caja de Yves Saint Laurent Libre,,FALSE,Yves Saint Laurent Libre — decant y frasco completo,Prueba Libre en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,libre,,,,,,,,LIBRE-10,,,Decant 10 ml,,,,,,,,22,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,libre,,,,,,,,LIBRE-90,,,Frasco 90 ml,,,,,,,,135,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Eros,eros,"<p>Menta y vainilla, sin pena. Para salir de noche.</p>",Versace,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Menta · Manzana verde · Vainilla,"Versace, decants, Eros, campo:7",TRUE,Active,EROS-5,,Presentación,Decant 5 ml,,,,,,,,8,,,TRUE,,,,,,shopify,10,DENY,40,g,TRUE,manual,https://raw.githubusercontent.com/SebastianDev017/fragance-theme/main/public/productos/eros.webp,1,Frasco y caja de Versace Eros,,FALSE,Versace Eros — decant y frasco completo,Prueba Eros en decant de 5 o 10 ml y llévate el frasco completo cuando estés seguro. Envíos a toda Venezuela.,,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,,,,,,New,,,,,,
,eros,,,,,,,,EROS-10,,,Decant 10 ml,,,,,,,,14,,,TRUE,,,,,,shopify,10,DENY,60,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,eros,,,,,,,,EROS-100,,,Frasco 100 ml,,,,,,,,78,,,TRUE,,,,,,shopify,10,DENY,420,g,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
